Date,Communication Services,Consumer Discretionary,Consumer Staples,Energy ,Financials,Health Care,Information Technology,Materials,Real Estate,Utilities,Industrials
2017-05-23,258.5400391,1785.339999,2044.931416,1362.937151,1261.210722,1342.591865,1322.24658,1525.169229,1520.632423,1389.131328,1803.11166
2017-05-24,259.5229187,1795.703494,2064.160753,1373.129055,1264.292364,1351.361717,1329.594379,1519.82416,1528.295132,1394.416134,1818.95305
2017-05-25,256.6971436,1812.25379,2078.855785,1382.60224,1267.692972,1359.620386,1336.638532,1517.487144,1536.450121,1400.081899,1815.10887
2017-05-26,257.0247803,1817.133448,2089.691412,1387.94988,1266.348183,1363.629541,1339.309201,1527.989252,1541.72156,1404.491269,1805.76781
2017-05-30,252.9703522,1814.651533,2102.174788,1389.932224,1257.507801,1363.44734,1336.962455,1522.689422,1541.052223,1401.931911,1813.48101
2017-05-31,253.5437012,1829.275178,2108.651451,1397.156777,1257.409038,1369.207229,1341.257681,1509.499795,1544.636736,1403.194543,1817.40766
2017-06-01,248.8750153,1838.670177,2114.048187,1400.531126,1277.258163,1375.876534,1351.221941,1519.295934,1553.843152,1413.004475,1836.96244
2017-06-02,248.3016357,1844.637297,2125.850828,1406.263254,1283.62042,1381.734687,1357.20612,1529.001593,1561.187743,1419.835636,1844.69306
2017-06-05,249.5302277,1836.800849,2116.695025,1401.0087,1279.949384,1376.796837,1352.584974,1514.061602,1553.985339,1413.064473,1830.40454
2017-06-06,247.0730286,1824.77446,2130.941002,1400.929497,1270.527001,1374.848998,1348.768499,1512.516664,1551.900874,1409.915255,1825.43434
2017-06-07,248.0968781,1808.526793,2105.524172,1387.382614,1272.254473,1364.356986,1341.331358,1501.970102,1540.192357,1401.247982,1811.01916
2017-06-08,246.7044525,1801.309177,2085.928154,1377.980595,1267.4109,1355.866656,1333.752717,1507.148842,1532.771006,1395.821786,1800.77089
2017-06-09,241.4214325,1800.889844,2103.341614,1381.884297,1287.768789,1363.061195,1344.238094,1535.992329,1545.31088,1409.709264,1829.93503
2017-06-12,244.4929352,1789.162857,2092.849655,1375.501816,1276.482392,1355.697931,1335.894046,1528.804747,1536.341921,1401.453809,1818.45669
2017-06-13,243.1005096,1792.839434,2087.915783,1374.618576,1296.928467,1359.080554,1343.542532,1530.86555,1540.827271,1407.643825,1828.45811
2017-06-14,243.8377228,1797.542615,2097.878107,1379.752815,1299.968095,1363.795871,1347.838927,1523.467748,1544.320597,1409.857342,1832.34403
2017-06-15,240.3976135,1765.904853,2084.811344,1363.704603,1290.26269,1349.016221,1334.327838,1486.179916,1524.886781,1391.396341,1804.92087
2017-06-16,238.4318237,1782.492771,2093.091005,1371.338533,1303.647817,1357.80039,1344.262247,1489.464932,1534.585385,1400.183217,1840.12945
2017-06-19,237.285141,1794.401758,2110.796131,1380.827677,1308.24526,1366.311193,1351.79471,1505.601668,1545.425485,1409.700999,1847.07022
2017-06-20,234.5002899,1784.862942,2110.61187,1376.658367,1311.550144,1363.636723,1350.615078,1488.83097,1540.966585,1405.376311,1825.65858
2017-06-21,231.9611664,1787.497289,2088.821241,1369.426565,1308.44253,1357.229758,1345.032951,1488.326045,1534.968054,1400.570984,1829.33728
2017-06-22,230.9782715,1785.854269,2080.35774,1365.730094,1306.961585,1353.976392,1342.22269,1481.907756,1531.001504,1396.96667,1817.17596
2017-06-23,234.1726532,1787.743787,2080.372496,1367.429645,1304.958347,1354.935386,1342.441126,1486.192614,1532.010486,1397.994601,1803.97468
2017-06-26,236.2424316,1795.78325,2107.171618,1379.732433,1307.894526,1365.364852,1350.99727,1491.694284,1542.662605,1406.390995,1804.18954
2017-06-27,235.8910522,1778.200975,2085.062925,1366.384984,1291.828843,1351.473756,1336.562528,1489.496096,1528.430015,1394.02937,1788.06724
2017-06-28,240.8890228,1762.730414,2076.090858,1359.903432,1286.391816,1345.201109,1330.498785,1483.868899,1520.669331,1387.755562,1778.49993
2017-06-29,240.151886,1744.144759,2039.834366,1341.377004,1266.507984,1326.4032,1311.429396,1479.668708,1501.337917,1371.120701,1770.61121
2017-06-30,241.4214325,1737.292024,2052.645929,1343.786462,1269.15857,1328.860884,1313.935305,1471.39737,1502.439506,1371.59635,1782.65123
2017-07-03,239.128067,1738.036626,2053.088814,1343.417836,1268.19797,1328.373862,1313.329889,1493.701229,1505.449461,1375.411708,1779.89931
2017-07-04,238.9232788,1731.392755,2038.33366,1336.216565,1264.454498,1321.864151,1307.511738,1493.054596,1498.975423,1370.346162,1781.70657
2017-07-05,236.507019,1740.563147,2043.447639,1340.172602,1272.215672,1326.581216,1312.98983,1493.740101,1504.244315,1374.990623,1783.85134
2017-07-06,235.6060486,1723.067482,2034.90305,1331.192193,1271.729625,1319.29968,1307.407166,1479.067822,1495.238145,1367.322438,1765.83106
2017-07-07,235.2374573,1726.716178,2048.232702,1336.728779,1276.152382,1324.6135,1312.49822,1475.388526,1500.047184,1370.904765,1772.2926
2017-07-10,236.2203369,1734.789373,2049.028782,1340.012831,1279.176363,1327.845537,1315.678244,1481.261851,1503.970426,1374.657542,1780.32874
2017-07-11,236.2203369,1734.290386,2040.920139,1337.143621,1271.906316,1324.09616,1311.048699,1481.268728,1500.096293,1370.926636,1780.0214
2017-07-12,237.6127625,1741.534189,2054.069693,1344.405548,1272.087818,1329.942002,1315.478456,1508.68094,1509.456949,1380.008619,1781.56336
2017-07-13,247.0320587,1746.576562,2061.798166,1351.802262,1275.674325,1336.576675,1321.351088,1503.891038,1513.952874,1383.87471,1790.27389
2017-07-14,246.2539673,1741.030809,2052.569031,1346.617936,1267.554374,1330.805224,1314.992511,1505.606117,1508.453715,1379.004979,1780.30564
2017-07-17,247.359726,1750.205748,2056.719805,1351.428426,1267.571479,1334.657037,1317.885647,1516.149076,1513.516745,1383.534735,1783.86683
2017-07-18,249.2026215,1746.057391,2072.093948,1355.784654,1269.721906,1338.572104,1321.359555,1515.236678,1516.975177,1386.275012,1776.76697
2017-07-19,249.9397888,1750.795407,2093.913471,1364.882889,1274.191475,1346.744606,1328.606323,1519.02199,1525.45088,1393.149694,1788.95368
2017-07-20,254.5675049,1773.229533,2109.787489,1379.194842,1283.477633,1360.051401,1340.907959,1516.493619,1537.591782,1402.952873,1792.8919
2017-07-21,252.5608063,1772.483621,2097.279886,1374.108104,1275.040351,1354.294554,1334.481003,1505.039009,1530.389504,1395.558754,1770.53131
2017-07-24,250.34935,1752.69819,2048.075323,1350.374288,1263.843376,1333.068105,1315.761923,1488.082762,1507.414852,1376.424218,1746.80765
2017-07-25,251.1274567,1752.187523,2042.808027,1348.707669,1276.558973,1334.27793,1319.84819,1513.87936,1512.609668,1384.313632,1754.84178
2017-07-26,254.4446716,1758.838261,2052.347755,1355.210229,1274.534656,1339.075115,1322.94,1513.543779,1516.641399,1386.990863,1769.08947
2017-07-27,258.949585,1774.415166,2054.16659,1362.510447,1293.503767,1348.709111,1334.907775,1520.441349,1526.950601,1397.837175,1771.60916
2017-07-28,254.2399292,1740.137022,2031.452471,1341.943141,1279.229745,1329.400461,1316.857782,1502.953693,1505.996331,1379.396859,1747.90359
2017-07-31,256.7790222,1721.95344,2036.164369,1338.298944,1283.833267,1327.405808,1316.512673,1510.671129,1504.97709,1380.283152,1744.51288
2017-08-01,258.8267212,1743.838141,2046.575882,1349.746915,1309.105648,1341.618661,1333.490408,1506.794788,1518.738635,1393.249176,1772.10569
2017-08-02,256.2875977,1727.364913,2052.303278,1345.318596,1309.567672,1338.168411,1331.018226,1498.638128,1514.625603,1389.556106,1766.1992
2017-08-03,257.1066589,1767.100176,2076.503201,1366.903345,1317.387583,1357.000193,1347.09704,1508.844603,1534.405163,1405.272988,1769.90699
2017-08-04,259.4410095,1780.951657,2092.584614,1377.659093,1325.478372,1367.222949,1356.786805,1515.662448,1545.192277,1414.666991,1782.04055
2017-08-07,258.8267212,1779.959809,2093.844486,1377.543672,1308.99707,1363.834352,1350.125031,1528.198124,1543.214649,1411.985483,1779.48802
2017-08-08,259.6047974,1767.670592,2092.125811,1373.133733,1298.412106,1358.189408,1343.245082,1530.094667,1537.553057,1406.771342,1783.26821
2017-08-09,256.6152344,1756.501001,2092.251596,1368.455944,1293.379358,1353.440627,1338.42531,1529.166528,1533.088623,1402.659398,1759.614
2017-08-10,253.3518982,1740.061031,2076.802374,1356.738435,1284.454675,1342.281683,1327.824931,1520.396064,1521.222742,1392.153088,1757.54322
2017-08-11,249.4952698,1731.14887,2075.486959,1352.0437,1273.601029,1336.355166,1320.666631,1502.422436,1513.103542,1383.032084,1763.18527
2017-08-14,251.6991119,1734.283684,2089.633427,1358.538741,1288.886118,1344.608216,1330.677692,1512.673193,1522.757296,1393.023543,1774.15355
2017-08-15,251.4447784,1738.612636,2094.760641,1361.606019,1298.889829,1349.062781,1336.519543,1506.605106,1526.579508,1396.543798,1769.77524
2017-08-16,249.5376434,1749.047084,2083.368807,1360.651178,1312.468073,1351.014557,1341.377936,1525.264467,1531.884586,1403.776799,1799.28614
2017-08-17,248.8595428,1739.88232,2078.79542,1355.845761,1305.133149,1345.703238,1335.560716,1533.377166,1527.756824,1400.562809,1797.72551
